66,Steve Blake,842,345,20305,2017,5029,.401,1014,2638,.384,1003,2391,.419,.502,492,633,.777,247,1525,1772,3333,577,61,1183,1250,5540,
67,Andray Blatche,564,191,12462,2327,4981,.467,52,219,.237,2275,4762,.478,.472,1000,1380,.725,1043,1981,3024,798,492,458,914,1382,5706,
68,Eric Bledsoe,352,190,9133,1464,3274,.447,255,765,.333,1209,2509,.482,.486,907,1161,.781,285,978,1263,1506,491,173,905,663,4090,
69,Vander Blue,5,1,89,11,34,.324,2,11,.182,9,23,.391,.353,3,10,.300,2,10,12,9,3,0,8,5,27,
70,Keith Bogans,671,333,14527,1482,3759,.394,714,2020,.353,768,1739,.442,.489,579,809,.716,391,1426,1817,866,429,68,574,1223,4257,
71,Bojan Bogdanovic,132,45,3269,451,1020,.442,166,461,.360,285,559,.510,.524,141,172,.820,79,307,386,123,56,12,145,180,1209,
72,Andrew Bogut,619,605,18418,2853,5351,.533,2,23,.087,2851,5328,.535,.533,816,1466,.557,1621,3986,5607,1404,407,1008,1102,1957,6524,
73,Matt Bonner,782,111,13264,1737,3742,.464,791,1906,.415,946,1836,.515,.570,337,432,.780,622,1740,2362,549,284,212,298,1298,4602,
74,Devin Booker,48,23,1118,176,391,.450,56,139,.403,120,252,.476,.522,103,125,.824,12,92,104,84,26,7,74,124,511,
75,Trevor Booker,364,112,7448,992,1934,.513,36,118,.305,956,1816,.526,.522,341,552,.618,728,1179,1907,312,240,214,337,742,2361,
76,Carlos Boozer,861,775,26901,5847,11221,.521,1,14,.071,5846,11207,.522,.521,2281,3158,.722,2037,6155,8192,1928,765,346,1824,2612,13976,
77,Chris Bosh,893,881,31936,6209,12581,.494,305,910,.335,5904,11671,.506,.506,4466,5591,.799,1927,5665,7592,1795,730,932,1807,2159,17189,
78,Avery Bradley,332,259,8905,1507,3457,.436,372,1023,.364,1135,2434,.466,.490,329,422,.780,192,651,843,529,337,70,443,686,3715,
79,Elton Brand,1041,867,34685,6568,13113,.501,2,20,.100,6566,13093,.501,.501,3619,4920,.736,3295,5682,8977,2166,931,1820,2049,3083,16757,
