id,name,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
4363,Kareem Abdul-Jabbar,1560,625,57446,15837,28307,0.559,1,18,0.056,15836,28289,0.56,0.559,6712,9304,0.721,2975,9394,17440,5660,1160,3189,2527,4657,38387
4364,Tiny Archibald,876,268,31159,5899,12628,0.467,19,85,0.224,5880,12543,0.469,0.468,4664,5760,0.81,344,1015,2046,6476,719,81,1123,2002,16481
4365,Paul Arizin,713,,24897,5628,13354,0.421,,,,5628,13354,0.421,0.421,5010,6189,0.81,,,6129,1665,,,,2764,16266
4366,Charles Barkley,1073,1012,39330,8435,15605,0.541,538,2020,0.266,7897,13585,0.581,0.558,6349,8643,0.735,4260,8286,12546,4215,1648,888,3376,3287,23757
4367,Don Barksdale,262,,7460,1016,2747,0.37,,,,1016,2747,0.37,0.37,863,1307,0.66,,,2088,549,,,,941,2895
4368,Rick Barry,794,,28825,7252,16163,0.449,73,221,0.33,7179,15942,0.45,0.451,3818,4243,0.9,510,2366,5168,4017,1104,269,574,2264,18395
4369,Elgin Baylor,846,,33863,8693,20171,0.431,,,,8693,20171,0.431,0.431,5763,7391,0.78,,,11463,3650,,,,2596,23149
4370,Walt Bellamy,1043,,38940,7914,15340,0.516,,,,7914,15340,0.516,0.516,5113,8088,0.632,264,481,14241,2544,52,48,,3536,20941
4371,Dave Bing,901,,32769,6962,15769,0.441,,,,6962,15769,0.441,0.441,4403,5683,0.775,418,741,3420,5397,483,89,216,2615,18327
4372,Larry Bird,897,870,34443,8591,17334,0.496,649,1727,0.376,7942,15607,0.509,0.514,3960,4471,0.886,1757,7217,8974,5695,1556,755,2816,2279,21791
4373,Bill Bradley,742,,22799,3927,8763,0.448,,,,3927,8763,0.448,0.448,1363,1623,0.84,198,643,2354,2533,209,65,,2363,9217
4374,Larry Brown,,,,,,,,,,,,,,,,,,,,,,,,,
4375,Roger Brown,,,,,,,,,,,,,,,,,,,,,,,,,
4376,Al Cervi,202,,1151,405,1128,0.359,,,,405,1128,0.359,0.359,781,931,0.839,,,261,648,,,,669,1591
4377,Wilt Chamberlain,1045,,47859,12681,23497,0.54,,,,12681,23497,0.54,0.54,6057,11862,0.511,,,23924,4643,,,,2075,31419
4378,Nathaniel Clifton,544,,14369,2082,5766,0.361,,,,2082,5766,0.361,0.361,1280,2021,0.633,,,4469,1367,,,,1840,5444
4379,Chuck Cooper,409,,7964,933,2750,0.339,,,,933,2750,0.339,0.339,859,1156,0.743,,,2431,734,,,,1196,2725
4380,Bob Cousy,924,,30165,6168,16468,0.375,,,,6168,16468,0.375,0.375,4624,5756,0.803,,,4786,6955,,,,2242,16960
4381,Dave Cowens,766,89,29565,5744,12499,0.46,1,14,0.071,5743,12485,0.46,0.46,2027,2590,0.783,1574,5122,10444,2910,599,488,543,2920,13516
4382,Billy Cunningham,654,,22406,5116,11467,0.446,,,,5116,11467,0.446,0.446,3394,4717,0.72,159,714,6638,2625,115,45,,2431,13626
4383,Louie Dampier,232,,4431,692,1418,0.488,,,,692,1418,0.488,0.488,169,226,0.748,61,200,261,643,171,36,134,219,1553
4384,Mel Daniels,11,,126,13,35,0.371,,,,13,35,0.371,0.371,13,23,0.565,10,24,34,6,3,11,,29,39
4385,Adrian Dantley,955,546,34151,8169,15121,0.54,7,41,0.171,8162,15080,0.541,0.54,6832,8351,0.818,2207,3248,5455,2830,944,150,2503,2550,23177
4386,Bob Davies,402,,8617,1975,5196,0.38,,,,1975,5196,0.38,0.38,1740,2299,0.757,,,980,1929,,,,1369,5690
4387,Dave DeBusschere,875,,31202,5722,13249,0.432,,,,5722,13249,0.432,0.432,2609,3730,0.699,134,623,9618,2497,67,39,,2801,14053
4388,Clyde Drexler,1086,950,37537,8335,17673,0.472,827,2603,0.318,7508,15070,0.498,0.495,4698,5962,0.788,2615,4062,6677,6125,2207,719,2977,3285,22195
4389,Joe Dumars,1018,944,35139,5994,13026,0.46,990,2592,0.382,5004,10434,0.48,0.498,3423,4059,0.843,671,1532,2203,4612,902,83,2084,1826,16401
4390,Wayne Embry,831,,21763,3993,9067,0.44,,,,3993,9067,0.44,0.44,2394,3741,0.64,,,7544,1194,,,,2838,10380
4391,Alex English,1193,753,38063,10659,21036,0.507,18,83,0.217,10641,20953,0.508,0.507,4277,5141,0.832,2778,3760,6538,4351,1067,833,2821,3027,25613
4392,Julius Erving,836,442,28677,7237,14276,0.507,46,176,0.261,7191,14100,0.51,0.509,3844,4950,0.777,2067,3534,5601,3224,1508,1293,2323,2286,18364
4393,Patrick Ewing,1183,1122,40594,9702,19241,0.504,19,125,0.152,9683,19116,0.507,0.505,5392,7289,0.74,2752,8855,11607,2215,1136,2894,3537,4034,24815
4394,Walt Frazier,825,,30965,6130,12516,0.49,0,1,0,6130,12515,0.49,0.49,3321,4226,0.786,403,1523,4830,5040,681,63,139,2180,15581
4395,Joe Fulks,326,,4490,1494,4834,0.309,,,,1494,4834,0.309,0.309,1117,1446,0.772,,,1379,462,,,,1151,4105
4396,Harry Gallatin,630,,15813,2653,6578,0.403,,,,2653,6578,0.403,0.403,3103,3998,0.776,,,6684,1145,,,,1959,8409
4397,George Gervin,791,377,26536,8045,15747,0.511,77,259,0.297,7968,15488,0.514,0.513,4541,5383,0.844,1186,2421,3607,2214,941,670,2137,2331,20708
4398,Artis Gilmore,909,476,29685,5732,9570,0.599,1,13,0.077,5731,9557,0.6,0.599,4114,5768,0.713,2639,6522,9161,1777,470,1747,2347,2986,15579
4399,Tom Gola,698,,22529,2964,6883,0.431,,,,2964,6883,0.431,0.431,1943,2556,0.76,,,5617,2962,,,,2688,7871
4400,Gail Goodrich,1031,,33527,7431,16300,0.456,,,,7431,16300,0.456,0.456,4319,5354,0.807,453,651,3279,4805,545,72,390,2775,19181
4401,Hal Greer,1122,,39788,8504,18811,0.452,,,,8504,18811,0.452,0.452,4578,5717,0.801,,,5665,4540,,,,3855,21586
4402,Richie Guerin,848,,27449,5174,12451,0.416,,,,5174,12451,0.416,0.416,4328,5549,0.78,,,4278,4211,,,,2769,14676
4403,Cliff Hagan,745,,21731,5239,11630,0.45,,,,5239,11630,0.45,0.45,2969,3722,0.798,,,5116,2242,,,,2388,13447
4404,Alex Hannum,516,,7713,1182,3341,0.354,,,,1182,3341,0.354,0.354,714,1135,0.629,,,2013,857,,,,1955,3078
4405,John Havlicek,1270,,46471,10513,23930,0.439,,,,10513,23930,0.439,0.439,5369,6589,0.815,610,1389,8007,6114,476,117,204,3281,26395
4406,Connie Hawkins,499,,17234,3013,6453,0.467,,,,3013,6453,0.467,0.467,2207,2811,0.785,332,876,3971,2052,244,150,,1459,8233
4407,Elvin Hayes,1303,129,50000,10976,24272,0.452,5,34,0.147,10971,24238,0.453,0.452,5356,7999,0.67,2778,6973,16279,2398,864,1771,1358,4193,27313
