753,Nick Anderson,800,636,24922,4416,9891,.446,1055,2964,.356,3361,6927,.485,.500,1642,2461,.667,1011,3053,4064,2087,1114,364,1358,1502,11529,,2001
754,Richard Anderson,407,30,6002,909,2206,.412,148,445,.333,761,1761,.432,.446,294,386,.762,457,961,1418,611,225,94,362,691,2260,,1989
755,Ron Anderson,664,79,15112,2936,6239,.471,105,366,.287,2831,5873,.482,.479,1079,1325,.814,856,1456,2312,952,470,90,730,1019,7056,,1993
756,Shandon Anderson,719,226,15946,1996,4366,.457,307,972,.316,1689,3394,.498,.492,1028,1392,.739,583,1669,2252,1007,556,180,958,1437,5327,,2005
757,Wally Anderzunas,44,,370,65,166,.392,,,,65,166,.392,.392,29,46,.630,,,82,9,,,,47,159,,1969
758,Willie Anderson,555,432,15974,2804,5952,.471,99,372,.266,2705,5580,.485,.479,1064,1353,.786,550,1532,2082,2105,594,342,1163,1500,6771,,1996
759,Martynas Andriuskevicius,6,0,9,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,3,4,0,2,0,0,1,0,,2005
760,Don Anielak,1,,10,0,4,.000,,,,0,4,.000,.000,3,4,.750,,,2,0,,,,0,3,,1954
761,Michael Ansley,149,6,2143,383,746,.513,0,0,,383,746,.513,.513,260,360,.722,311,310,621,67,51,24,85,284,1026,,1991
762,Chris Anstey,155,23,2157,303,734,.413,4,29,.138,299,705,.424,.416,203,269,.755,178,356,534,127,78,65,147,373,813,,1999
763,Greg Anthony,757,227,15850,1914,4750,.403,610,1748,.349,1304,3002,.434,.467,1059,1445,.733,271,1146,1417,2997,887,79,1043,1324,5497,,2001
764,Rafael Araujo,139,75,1585,156,385,.405,1,4,.250,155,381,.407,.406,76,112,.679,124,271,395,41,51,16,111,300,389,,2006
765,Stacey Arceneaux,7,,110,22,56,.393,,,,22,56,.393,.393,6,13,.462,,,32,4,,,,10,50,,1961
766,Robert Archibald,44,3,328,15,53,.283,0,0,,15,53,.283,.283,21,49,.429,27,42,69,16,14,6,17,59,51,,2003
767,Jim Ard,218,,2666,300,831,.361,,,,300,831,.361,.361,171,246,.695,241,579,820,149,43,96,14,384,771,,1977
768,Gilbert Arenas,552,455,19351,3722,8850,.421,1079,3077,.351,2643,5773,.458,.482,2879,3584,.803,444,1724,2168,2909,884,134,1744,1683,11402,,2011
769,Joe Arlauckas,9,0,85,14,43,.326,0,0,,14,43,.326,.326,6,8,.750,6,7,13,8,3,4,4,16,34,,1987
770,B.J. Armstrong,747,341,17790,2850,5981,.477,436,1026,.425,2414,4955,.487,.513,1184,1383,.856,192,1129,1321,2479,533,47,889,1128,7320,,1999
771,Bob Armstrong,19,,110,11,37,.297,,,,11,37,.297,.297,6,12,.500,,,39,3,,,,13,28,,1956
772,Brandon Armstrong,108,0,699,101,287,.352,25,75,.333,76,212,.358,.395,12,20,.600,22,41,63,24,22,4,37,83,239,,2003
773,Curly Armstrong,101,,,216,748,.289,,,,216,748,.289,.289,228,331,.689,,,89,253,,,,314,660,,1950
774,Darrell Armstrong,840,337,19915,2663,6507,.409,923,2763,.334,1740,3744,.465,.480,1463,1679,.871,654,1615,2269,3394,1133,98,1556,1398,7712,,2007
775,Tate Armstrong,92,,975,159,350,.454,,,,159,350,.454,.454,32,40,.800,31,57,88,105,33,0,79,64,350,,1978
776,Jesse Arnelle,31,,409,52,164,.317,,,,52,164,.317,.317,43,69,.623,,,170,18,,,,60,147,,1955
777,Jay Arnette,114,,1177,163,447,.365,,,,163,447,.365,.365,98,129,.760,,,116,139,,,,233,424,,1965
778,Bob Arnzen,55,,594,128,277,.462,,,,128,277,.462,.462,45,52,.865,,,152,24,,,,54,301,,1973
779,Carlos Arroyo,569,191,10651,1431,3269,.438,137,405,.338,1294,2864,.452,.459,771,956,.806,210,755,965,1761,290,26,680,874,3770,,2010
780,John Arthurs,11,,86,12,35,.343,,,,12,35,.343,.343,11,15,.733,,,14,17,,,,15,35,,1969
781,Vincent Askew,467,27,9361,1215,2534,.479,76,253,.300,1139,2281,.499,.494,805,1068,.754,400,776,1176,1017,304,106,503,972,3311,,1997
782,Keith Askins,486,80,7983,677,1688,.401,275,774,.355,402,914,.440,.483,223,311,.717,525,903,1428,375,278,170,321,1094,1852,,1998
783,Don Asmonga,7,,46,2,15,.133,,,,2,15,.133,.133,1,1,1.000,,,1,5,,,,12,5,,1953
784,Dick Atha,43,,448,53,135,.393,,,,53,135,.393,.393,31,39,.795,,,66,51,,,,63,137,,1957
785,Chucky Atkins,696,325,17304,2479,6022,.412,934,2565,.364,1545,3457,.447,.489,971,1258,.772,194,992,1186,2396,465,36,1018,1284,6863,,2009
786,Al Attles,711,,17826,2499,5545,.451,,,,2499,5545,.451,.451,1330,2106,.632,,,2463,2483,,,,2417,6328,,1970
787,Chet Aubuchon,,1946
788,Stacey Augmon,1001,472,21658,3037,6480,.469,12,79,.152,3025,6401,.473,.470,1904,2616,.728,1304,1912,3216,1561,974,317,1248,1750,7990,,2005
789,James Augustine,27,0,156,19,37,.514,0,0,,19,37,.514,.514,4,8,.500,17,16,33,4,5,2,6,20,42,,2007
790,Isaac Austin,432,166,8350,1295,2901,.446,9,51,.176,1286,2850,.451,.448,686,1024,.670,617,1413,2030,538,214,226,701,967,3285,,2001
791,Johnny Austin,4,,61,5,22,.227,,,,5,22,.227,.227,13,16,.813,,,7,4,,,,12,23,,1967
792,Ken Austin,7,0,28,6,13,.462,0,0,,6,13,.462,.462,0,0,,2,1,3,1,1,1,3,7,12,,1983
793,Anthony Avent,352,156,6729,814,2019,.403,0,2,.000,814,2017,.404,.403,330,481,.686,560,1024,1584,278,166,211,416,824,1958,,1999
794,Bird Averitt,130,,2221,432,1103,.392,,,,432,1103,.392,.392,221,310,.713,37,124,161,330,69,14,143,250,1085,,1977
795,William Avery,142,1,1205,137,415,.330,40,157,.255,97,258,.376,.378,65,91,.714,17,76,93,199,34,6,106,125,379,,2001
796,Dennis Awtrey,733,3,14159,1382,3009,.459,0,0,,1382,3009,.459,.459,752,1154,.652,703,1514,3342,1467,186,182,245,1702,3516,,1981
797,Kelenna Azubuike,208,84,5025,802,1748,.459,210,514,.409,592,1234,.480,.519,364,473,.770,257,572,829,230,130,103,203,408,2178,,2011
798,Milos Babic,21,0,87,12,32,.375,0,0,,12,32,.375,.375,13,20,.650,8,12,20,10,2,1,10,7,37,,1991
799,Johnny Bach,,1948
800,Henry Bacon,,1972
801,Jim Baechtold,321,,8256,1117,2876,.388,,,,1117,2876,.388,.388,889,1135,.783,,,1009,685,,,,795,3123,,1956
802,Dalibor Bagaric,95,0,973,97,269,.361,0,2,.000,97,267,.363,.361,57,102,.559,84,154,238,37,29,43,72,163,251,,2002
803,John Bagley,665,401,17120,2359,5398,.437,114,473,.241,2245,4925,.456,.448,970,1245,.779,413,1316,1729,3980,755,54,1512,1090,5802,,1993
804,Carl Bailey,1,0,7,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,2,2,2,,1981
805,Gus Bailey,147,,1346,156,384,.406,1,1,1.000,155,383,.405,.408,76,149,.510,95,149,244,168,56,43,45,150,389,,1979
806,James Bailey,595,105,11625,2045,4228,.484,1,13,.077,2044,4215,.485,.484,1155,1644,.703,1010,1978,2988,488,305,521,1057,1978,5246,,1987
807,Thurl Bailey,928,229,24873,4753,10056,.473,4,35,.114,4749,10021,.474,.473,2324,2863,.812,1304,3414,4718,1298,435,1086,1444,1843,11834,,1998
808,Toby Bailey,73,12,698,92,226,.407,3,15,.200,89,211,.422,.414,54,78,.692,50,76,126,43,22,6,35,79,241,,1999
809,Jimmie Baker,,1975
810,LaMark Baker,1,0,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,1,0,0,,1998
811,Maurice Baker,5,0,19,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,1,2,1,1,0,1,3,0,,2004
812,Norm Baker,,1946
813,Vin Baker,791,604,25737,4692,9675,.485,39,181,.215,4653,9494,.490,.487,2416,3787,.638,2263,3604,5867,1509,582,798,1756,2560,11839,,2005
814,Greg Ballard,802,337,22073,4220,8942,.472,93,275,.338,4127,8667,.476,.477,1420,1805,.787,1434,3424,4858,1733,877,256,1059,1807,9953,,1988
